soil_moisture_vwc,timestamp,hour,doy,month,hour_sin,hour_cos,doy_sin,doy_cos,month_sin,month_cos,site_name,comid,lat,lon
0.46905923,2025-01-23 06:00:00,6,23,1,1.0,6.123233995736766e-17,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.46897137,2025-01-23 07:00:00,7,23,1,0.9659258262890683,-0.25881904510252063,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.46888375,2025-01-23 08:00:00,8,23,1,0.8660254037844387,-0.49999999999999983,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4687947,2025-01-23 09:00:00,9,23,1,0.7071067811865476,-0.7071067811865475,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.46870756,2025-01-23 10:00:00,10,23,1,0.49999999999999994,-0.8660254037844387,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4686216,2025-01-23 11:00:00,11,23,1,0.258819045102521,-0.9659258262890682,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.46853483,2025-01-23 12:00:00,12,23,1,1.2246467991473532e-16,-1.0,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4684503,2025-01-23 13:00:00,13,23,1,-0.2588190451025208,-0.9659258262890683,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.46836507,2025-01-23 14:00:00,14,23,1,-0.4999999999999998,-0.8660254037844388,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.46925426,2025-01-23 15:00:00,15,23,1,-0.7071067811865471,-0.7071067811865479,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4691428,2025-01-23 16:00:00,16,23,1,-0.8660254037844384,-0.5000000000000004,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
